frame, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU45_c
35,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
36,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
37,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
38,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
39,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
40,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
41,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
42,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
43,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
44,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
45,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
46,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
47,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
48,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
49,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
50,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
51,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
52,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
53,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
54,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
55,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
56,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
57,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
58,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
59,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
60,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
61,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
62,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
63,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
64,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
65,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
66,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
67,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
68,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
69,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
70,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
71,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
72,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
73,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
74,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
75,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
76,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
77,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
78,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
79,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
80,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
81,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
82,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
83,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
84,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
85,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
86,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
87,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
88,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
89,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
90,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
91,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
92,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
